Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,10.85,10.92,10.72,10.83,38263798.0,0.0,1.0,10.85,10.92,10.72,10.83,38263798.0
2018-03-26,10.74,10.87,10.68,10.83,52165572.0,0.0,1.0,10.74,10.87,10.68,10.83,52165572.0
2018-03-23,10.79,10.85,10.51,10.56,39706214.0,0.0,1.0,10.79,10.85,10.51,10.56,39706214.0
2018-03-22,11.0,11.06,10.73,10.75,50907549.0,0.0,1.0,11.0,11.06,10.73,10.75,50907549.0
2018-03-21,11.0,11.185,10.93,11.1,38407514.0,0.0,1.0,11.0,11.185,10.93,11.1,38407514.0
2018-03-20,11.05,11.13,10.97,10.99,45408806.0,0.0,1.0,11.05,11.13,10.97,10.99,45408806.0
2018-03-19,11.15,11.17,10.87,11.01,54917442.0,0.0,1.0,11.15,11.17,10.87,11.01,54917442.0
2018-03-16,11.12,11.22,11.06,11.15,72970122.0,0.0,1.0,11.12,11.22,11.06,11.15,72970122.0
2018-03-15,11.05,11.25,10.95,11.07,47477216.0,0.0,1.0,11.05,11.25,10.95,11.07,47477216.0
2018-03-14,11.25,11.44,11.01,11.02,91444196.0,0.0,1.0,11.25,11.44,11.01,11.02,91444196.0
2018-03-13,10.84,10.98,10.73,10.78,42887471.0,0.0,1.0,10.84,10.98,10.73,10.78,42887471.0
2018-03-12,10.69,10.85,10.68,10.81,32841806.0,0.0,1.0,10.69,10.85,10.68,10.81,32841806.0
2018-03-09,10.63,10.73,10.57,10.73,25694026.0,0.0,1.0,10.63,10.73,10.57,10.73,25694026.0
2018-03-08,10.65,10.68,10.48,10.61,26486902.0,0.0,1.0,10.65,10.68,10.48,10.61,26486902.0
2018-03-07,10.51,10.64,10.43,10.63,30046598.0,0.0,1.0,10.51,10.64,10.43,10.63,30046598.0
2018-03-06,10.65,10.68,10.47,10.63,30642231.0,0.0,1.0,10.65,10.68,10.47,10.63,30642231.0
2018-03-05,10.31,10.63,10.3,10.58,44021329.0,0.0,1.0,10.31,10.63,10.3,10.58,44021329.0
2018-03-02,10.24,10.42,10.14,10.4,60491864.0,0.0,1.0,10.24,10.42,10.14,10.4,60491864.0
2018-03-01,10.65,10.69,10.2,10.29,75841414.0,0.0,1.0,10.65,10.69,10.2,10.29,75841414.0
2018-02-28,10.68,10.79,10.57,10.61,41225487.0,0.0,1.0,10.68,10.79,10.57,10.61,41225487.0
