Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,36.02,36.03,34.5,34.87,17393191.0,0.0,1.0,36.02,36.03,34.5,34.87,17393191.0
2018-03-26,35.94,36.05,35.285,35.99,9251162.0,0.0,1.0,35.94,36.05,35.285,35.99,9251162.0
2018-03-23,36.42,36.59,35.13,35.17,12939065.0,0.0,1.0,36.42,36.59,35.13,35.17,12939065.0
2018-03-22,37.23,37.33,36.27,36.35,12455805.0,0.0,1.0,37.23,37.33,36.27,36.35,12455805.0
2018-03-21,37.16,38.02,37.1,37.58,11412099.0,0.0,1.0,37.16,38.02,37.1,37.58,11412099.0
2018-03-20,37.13,37.26,36.74,36.89,8448931.0,0.0,1.0,37.13,37.26,36.74,36.89,8448931.0
2018-03-19,37.93,37.98,36.54,37.01,12021583.0,0.0,1.0,37.93,37.98,36.54,37.01,12021583.0
2018-03-16,37.92,38.15,37.69,37.94,10016932.0,0.0,1.0,37.92,38.15,37.69,37.94,10016932.0
2018-03-15,37.97,37.99,37.59,37.85,8078386.0,0.0,1.0,37.97,37.99,37.59,37.85,8078386.0
2018-03-14,38.48,38.61,37.65,37.69,13293352.0,0.0,1.0,38.48,38.61,37.65,37.69,13293352.0
2018-03-13,37.97,38.5399,37.87,38.01,12346062.0,0.0,1.0,37.97,38.5399,37.87,38.01,12346062.0
2018-03-12,37.87,37.99,37.58,37.83,11340349.0,0.0,1.0,37.87,37.99,37.58,37.83,11340349.0
2018-03-09,37.85,38.08,37.66,37.84,12251575.0,0.0,1.0,37.85,38.08,37.66,37.84,12251575.0
2018-03-08,37.64,37.93,37.22,37.84,12859595.0,0.0,1.0,37.64,37.93,37.22,37.84,12859595.0
2018-03-07,37.39,37.84,37.16,37.74,15052041.0,0.0,1.0,37.018252224,37.4637781266,36.7905389848,37.3647723705,15052041.0
2018-03-06,38.02,38.0799,37.54,37.93,12147268.0,0.0,1.0,37.6419884877,37.7012929356,37.1667608582,37.5528833072,12147268.0
2018-03-05,37.33,37.9,37.11,37.74,12011053.0,0.0,1.0,36.9588487703,37.523181580300005,36.741036106799996,37.3647723705,12011053.0
2018-03-02,37.47,37.61,36.59,37.43,24060510.0,0.0,1.0,37.0974568289,37.2360648875,36.2262061748,37.0578545264,24060510.0
2018-03-01,39.59,39.59,37.41,37.79,26183081.0,0.0,1.0,39.1963788592,39.1963788592,37.0380533752,37.4142752486,26183081.0
2018-02-28,39.62,40.15,39.315,39.35,22813353.0,0.0,1.0,39.62,40.15,39.315,39.35,22813353.0
2018-02-27,41.49,41.54,40.12,40.17,12628018.0,0.0,1.0,41.49,41.54,40.12,40.17,12628018.0
2018-02-26,41.08,41.62,40.75,41.54,8665406.0,0.0,1.0,41.08,41.62,40.75,41.54,8665406.0
2018-02-23,41.05,41.14,40.58,40.91,6261005.0,0.0,1.0,41.05,41.14,40.58,40.91,6261005.0
2018-02-22,40.66,41.2,40.5,40.91,8777991.0,0.0,1.0,40.66,41.2,40.5,40.91,8777991.0
2018-02-21,40.75,41.3,40.5101,40.56,9074741.0,0.0,1.0,40.75,41.3,40.5101,40.56,9074741.0
2018-02-20,40.9,41.33,40.59,40.77,7359829.0,0.0,1.0,40.9,41.33,40.59,40.77,7359829.0
2018-02-16,41.85,42.28,41.0,41.09,14348841.0,0.0,1.0,41.85,42.28,41.0,41.09,14348841.0
2018-02-15,42.06,42.21,41.395,41.85,9455372.0,0.0,1.0,42.06,42.21,41.395,41.85,9455372.0
2018-02-14,41.03,41.91,40.93,41.81,10257574.0,0.0,1.0,41.03,41.91,40.93,41.81,10257574.0
2018-02-13,41.7,42.07,41.37,41.4,8924407.0,0.0,1.0,41.7,42.07,41.37,41.4,8924407.0
2018-02-12,41.95,42.62,41.61,42.0,19333515.0,0.0,1.0,41.95,42.62,41.61,42.0,19333515.0
2018-02-09,41.16,41.97,40.23,41.46,19549183.0,0.0,1.0,41.16,41.97,40.23,41.46,19549183.0
2018-02-08,42.46,42.71,40.74,40.75,17724587.0,0.0,1.0,42.46,42.71,40.74,40.75,17724587.0
2018-02-07,41.8,43.56,41.65,42.39,19349300.0,0.0,1.0,41.8,43.56,41.65,42.39,19349300.0
2018-02-06,40.06,42.23,40.0,41.86,25944391.0,0.0,1.0,40.06,42.23,40.0,41.86,25944391.0
2018-02-05,40.98,41.67,39.51,39.54,19385830.0,0.0,1.0,40.98,41.67,39.51,39.54,19385830.0
2018-02-02,42.22,42.27,40.85,41.0,13808833.0,0.0,1.0,42.22,42.27,40.85,41.0,13808833.0
2018-02-01,42.12,42.6,41.95,42.43,9623381.0,0.0,1.0,42.12,42.6,41.95,42.43,9623381.0
2018-01-31,42.78,42.95,42.14,42.41,19650855.0,0.0,1.0,42.78,42.95,42.14,42.41,19650855.0
2018-01-30,42.83,43.22,42.52,42.7,7488471.0,0.0,1.0,42.83,43.22,42.52,42.7,7488471.0
2018-01-29,43.47,43.78,42.9824,43.02,8020055.0,0.0,1.0,43.47,43.78,42.9824,43.02,8020055.0
2018-01-26,43.32,43.565,42.99,43.49,8262940.0,0.0,1.0,43.32,43.565,42.99,43.49,8262940.0
2018-01-25,44.46,44.48,42.975,43.16,10843851.0,0.0,1.0,44.46,44.48,42.975,43.16,10843851.0
2018-01-24,43.5,44.4,43.45,44.16,11263094.0,0.0,1.0,43.5,44.4,43.45,44.16,11263094.0
2018-01-23,43.34,43.44,42.905,43.38,13876884.0,0.0,1.0,43.34,43.44,42.905,43.38,13876884.0
2018-01-22,43.16,43.42,42.82,43.29,15218645.0,0.0,1.0,43.16,43.42,42.82,43.29,15218645.0
2018-01-19,44.05,44.09,43.04,43.15,13522800.0,0.0,1.0,44.05,44.09,43.04,43.15,13522800.0
2018-01-18,44.18,44.19,43.64,43.86,11672457.0,0.0,1.0,44.18,44.19,43.64,43.86,11672457.0
2018-01-17,44.01,44.27,43.4,44.03,13713475.0,0.0,1.0,44.01,44.27,43.4,44.03,13713475.0
2018-01-16,45.1,45.52,43.75,44.19,19941635.0,0.0,1.0,45.1,45.52,43.75,44.19,19941635.0
2018-01-12,44.15,44.7,43.66,44.07,14151136.0,0.0,1.0,44.15,44.7,43.66,44.07,14151136.0
2018-01-11,43.28,44.27,43.155,44.19,11110374.0,0.0,1.0,43.28,44.27,43.155,44.19,11110374.0
2018-01-10,43.84,44.14,42.61,43.0,18140498.0,0.0,1.0,43.84,44.14,42.61,43.0,18140498.0
2018-01-09,44.31,44.59,43.74,44.05,7731258.0,0.0,1.0,44.31,44.59,43.74,44.05,7731258.0
2018-01-08,44.04,44.59,43.5201,44.22,13023999.0,0.0,1.0,44.04,44.59,43.5201,44.22,13023999.0
2018-01-05,44.5,44.64,43.96,44.01,9510219.0,0.0,1.0,44.5,44.64,43.96,44.01,9510219.0
2018-01-04,43.09,44.25,43.01,44.14,17159951.0,0.0,1.0,43.09,44.25,43.01,44.14,17159951.0
2018-01-03,42.21,42.95,42.2,42.82,14550960.0,0.0,1.0,42.21,42.95,42.2,42.82,14550960.0
2018-01-02,41.24,41.87,41.15,41.8,6924308.0,0.0,1.0,41.24,41.87,41.15,41.8,6924308.0
2017-12-29,41.52,41.5922,40.99,40.99,6524865.0,0.0,1.0,41.52,41.5922,40.99,40.99,6524865.0
2017-12-28,41.34,41.44,41.2,41.38,4991515.0,0.0,1.0,41.34,41.44,41.2,41.38,4991515.0
2017-12-27,41.76,41.85,41.3,41.31,4891982.0,0.0,1.0,41.76,41.85,41.3,41.31,4891982.0
2017-12-26,41.86,42.09,41.63,41.8,3368917.0,0.0,1.0,41.86,42.09,41.63,41.8,3368917.0
2017-12-22,42.23,42.31,41.81,42.02,4889285.0,0.0,1.0,42.23,42.31,41.81,42.02,4889285.0
2017-12-21,42.69,42.75,42.13,42.16,10081994.0,0.0,1.0,42.69,42.75,42.13,42.16,10081994.0
2017-12-20,42.71,42.78,42.39,42.52,7574907.0,0.0,1.0,42.71,42.78,42.39,42.52,7574907.0
2017-12-19,42.635,42.8,42.44,42.49,13179940.0,0.0,1.0,42.635,42.8,42.44,42.49,13179940.0
2017-12-18,41.3,42.32,41.25,42.15,22028243.0,0.0,1.0,41.3,42.32,41.25,42.15,22028243.0
2017-12-15,40.97,41.33,40.92,40.95,22574658.0,0.0,1.0,40.97,41.33,40.92,40.95,22574658.0
2017-12-14,41.24,41.44,40.7,40.81,9273702.0,0.0,1.0,41.24,41.44,40.7,40.81,9273702.0
2017-12-13,41.54,41.91,41.39,41.4,7772364.0,0.0,1.0,41.54,41.91,41.39,41.4,7772364.0
2017-12-12,41.65,41.77,41.26,41.53,8818913.0,0.0,1.0,41.65,41.77,41.26,41.53,8818913.0
2017-12-11,41.88,41.93,41.56,41.67,14081123.0,0.0,1.0,41.88,41.93,41.56,41.67,14081123.0
2017-12-08,42.26,42.3,41.8448,42.02,13630268.0,0.0,1.0,42.26,42.3,41.8448,42.02,13630268.0
2017-12-07,41.71,42.39,41.54,42.02,16443346.0,0.0,1.0,41.71,42.39,41.54,42.02,16443346.0
2017-12-06,42.57,42.69,42.14,42.15,12377153.0,0.0,1.0,42.57,42.69,42.14,42.15,12377153.0
2017-12-05,43.01,43.06,42.52,42.8,11287042.0,0.0,1.0,43.01,43.06,42.52,42.8,11287042.0
2017-12-04,43.2,43.42,42.9153,43.05,12838868.0,0.0,1.0,43.2,43.42,42.9153,43.05,12838868.0
2017-12-01,43.19,43.25,41.87,42.79,19298757.0,0.0,1.0,43.19,43.25,41.87,42.79,19298757.0
2017-11-30,44.0,44.53,42.7,43.09,30874849.0,0.0,1.0,44.0,44.53,42.7,43.09,30874849.0
2017-11-29,45.1,45.35,43.79,43.81,19410687.0,0.0,1.0,45.1,45.35,43.79,43.81,19410687.0
2017-11-28,44.35,45.08,44.1414,44.92,10252010.0,0.0,1.0,44.35,45.08,44.1414,44.92,10252010.0
2017-11-27,44.47,44.49,43.88,44.17,8583390.0,0.0,1.0,44.47,44.49,43.88,44.17,8583390.0
